,Ticker,marketCap
9,A,38690070528
18,ALL,41861853184
26,AEP,43358474240
31,AMP,40830472192
32,AME,41166516224
36,ANSS,29663498240
42,ACGL,32585357312
43,ADM,28509214720
52,AVB,24909430784
55,BKR,30125533184
58,BK,42249900032
66,BIIB,32462018560
78,BF-B,27563292672
86,CAH,26291052544
93,CBRE,27546267648
94,CDW,33102856192
97,CNC,42906710016
103,CHTR,43483267072
118,CTSH,39737745408
124,ED,30380695552
126,CEG,42793996288
129,GLW,27900063744
130,CTVA,38527885312
131,CSGP,34628997120
136,CMI,37445988352
142,DAL,26839480320
144,DVN,28113917952
146,FANG,31470913536
147,DLR,43840974848
148,DFS,30495414272
149,DG,30817376256
150,DLTR,31783168000
151,D,40049102848
154,DOW,39602302976
158,DD,29214107648
163,EIX,26247608320
165,EA,38121435136
174,EFX,32969818112
183,EXC,36113346560
186,EXR,30601988096
190,FICO,31868592128
191,FAST,41303781376
194,FIS,38084870144
203,FTV,30198777856
208,GRMN,25987698688
209,IT,35915137024
210,GEHC,40558645248
215,GIS,37094572032
219,GPN,34337804288
222,HAL,31340490752
223,HIG,28620179456
228,HSY,39531630592
237,HWM,27026724864
238,HPQ,29003702272
240,HUM,43786182656
249,IR,36515004416
267,JCI,39826685952
271,KVUE,36729700352
272,KDP,42215882752
274,KEYS,26195109888
275,KMB,40978448384
277,KMI,38284132352
279,KHC,43732254720
280,KR,34683379712
281,LHX,40768659456
285,LVS,41260748800
287,LEN,43180781568
295,LYB,32215398400
302,MLM,33912373248
313,MTD,25984716800
319,MRNA,36778655744
324,MPWR,34634432512
331,NDAQ,32585476096
334,NEM,36049887232
354,ON,32558196736
355,OKE,42508746752
357,OTIS,37918150656
376,PPG,33963763712
382,PRU,38820474880
383,PEG,30272575488
388,PWR,34053349376
399,RMD,27070257152
402,ROK,32144203776
406,RCL,31288203264
429,SYY,40234622976
431,TROW,24823689216
432,TTWO,25760190464
445,TSCO,26279270400
456,ULTA,26698143744
467,VRSK,35106172928
472,VICI,31332532224
474,VMC,34178922496
483,WEC,24885217280
486,WST,26933094400
491,WMB,42513240064
492,WTW,28461473792
495,XEL,32937404416
496,XYL,30352207872
497,YUM,38914396160
499,ZBH,26996162560
